file_name,duration,unit
plan_314,"379.36","us"
plan_320,"213.95","us"
plan_342,"235.81","us"
plan_459,"183.20","us"
plan_334,"218.82","us"
plan_322,"217.44","us"
plan_336,"222.75","us"
plan_33,"201.12","us"
plan_329,"373.22","us"
plan_343,"235.55","us"
plan_330,"376","us"
plan_337,"219.81","us"
plan_351,"227.46","us"
plan_345,"234.05","us"
plan_323,"220.32","us"
plan_335,"398.34","us"
plan_346,"238.40","us"
plan_331,"357.18","us"
plan_352,"227.71","us"
plan_339,"387.81","us"
plan_36,"181.79","us"
plan_360,"228.51","us"
plan_344,"403.68","us"
plan_338,"368.35","us"
plan_355,"227.68","us"
plan_340,"371.42","us"
plan_332,"379.10","us"
plan_348,"244.42","us"
plan_361,"226.66","us"
plan_34,"203.55","us"
plan_347,"403.58","us"
plan_353,"393.76","us"
plan_354,"229.98","us"
plan_363,"232.06","us"
plan_369,"236.10","us"
plan_341,"390.34","us"
plan_349,"243.07","us"
plan_364,"233.86","us"
plan_357,"234.18","us"
plan_37,"174.14","us"
plan_356,"401.06","us"
plan_378,"232.90","us"
plan_350,"403.46","us"
plan_358,"232.96","us"
plan_35,"315.62","us"
plan_366,"237.73","us"
plan_362,"398.88","us"
plan_372,"235.55","us"
plan_379,"234.53","us"
plan_370,"234.21","us"
plan_365,"393.73","us"
plan_359,"400.90","us"
plan_381,"233.82","us"
plan_387,"233.44","us"
plan_373,"235.49","us"
plan_375,"414.50","us"
plan_367,"241.57","us"
plan_382,"233.98","us"
plan_371,"408.19","us"
plan_39,"179.04","us"
plan_388,"236.48","us"
plan_38,"181.41","us"
plan_374,"409.38","us"
plan_376,"244.70","us"
plan_391,"235.26","us"
plan_390,"236.35","us"
plan_368,"397.63","us"
plan_380,"394.98","us"
plan_397,"228.06","us"
plan_396,"227.90","us"
plan_399,"226.85","us"
plan_389,"418.43","us"
plan_377,"411.26","us"
plan_383,"398.66","us"
plan_384,"399.49","us"
plan_405,"232.16","us"
plan_393,"243.17","us"
plan_4,"209.09","us"
plan_40,"177.34","us"
plan_400,"226.14","us"
plan_392,"414.05","us"
plan_398,"393.82","us"
plan_386,"401.98","us"
plan_385,"244.99","us"
plan_394,"243.04","us"
plan_408,"229.82","us"
plan_414,"236.06","us"
plan_406,"230.66","us"
plan_402,"396.99","us"
plan_415,"233.70","us"
plan_395,"414.69","us"
plan_407,"394.69","us"
plan_418,"234.46","us"
plan_409,"231.04","us"
plan_401,"395.65","us"
plan_417,"235.30","us"
plan_403,"389.92","us"
plan_423,"233.60","us"
plan_424,"233.92","us"
plan_432,"233.18","us"
plan_426,"234.05","us"
plan_411,"239.62","us"
